,ALB,ARG,ABW,AUS,AUT,BHR,BGD,BRB,BLR,BEL,BMU,BOL,BRA,BGR,CAN,CYM,CHL,HKG,MAC,CHN,COL,CRI,CMQ,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GIB,GRC,GGY,HND,HUN,ISL,IND,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,KWT,LVA,LBN,LBR,LTU,LUX,MYS,MLT,MUS,MEX,MNG,NLD,NZL,NOR,PAK,PLW,PAN,PER,PHL,POL,PRT,ROU,RUS,SAU,SGP,SVK,SVN,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VEN,PSE
BRB,,0,0,C,2,0,,,0,2,8,,0,0,65,24,2,0,,0,0,,0,0,0,12,0,0,C,21,32,,,5,,0,,0,,33,0,,8,76,,0,0,,,0,,0,507,,0,0,,,38,,2,,,5,1,,0,0,,0,,C,0,0,,C,0,18,0,0,,109,"2,803",0,,
BLR,,0,0,0,2,0,,0,,,0,,,0,10,,0,0,,0,0,,0,-6,0,23,0,2,C,7,7,0,,16,,0,0,0,,10,0,,20,5,,0,0,,1,1,,1,203,,0,0,,,9,,0,,,,0,,C,0,,C,,,3,0,,C,1,13,,2,,16,206,,,
BEL,51,0,0,"1,428","7,048",23,55,4,0,,"1,094",,658,59,"4,764","2,142",107,548,42,"1,267",17,2,2,103,"2,672","3,583",0,173,"3,914","110,759","67,794",0,"1,141",773,0,335,44,3,1,"33,433",6,27,"9,658","24,678",651,100,749,0,60,62,,53,"78,686",22,201,43,23,,"43,457",,"8,040",1,,0,4,0,29,"1,435",1,9,777,C,644,362,78,"5,782","1,488","8,234",11,2,,"31,514","68,230",3,,
BLZ,,0,0,C,3,0,,6,16,0,0,,12,0,8,,7,0,,0,0,1,2,0,0,8,0,1,C,9,2,,,0,,0,,0,,21,0,,2,0,1,0,0,,,0,,0,46,,C,0,,,13,,0,,,4,0,,C,0,,C,,,0,0,,C,0,4,,0,,2,331,,,
BEN,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,3,0,0,,,0,,0,3,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,2,,0,,0,0,,,
BMU,,0,3,"4,327",160,93,,397,0,907,,,"1,500",0,"8,983","3,630",59,"152,687","1,026","1,318",0,0,61,75,50,"1,516",0,2,578,"1,994","3,126",4,8,"2,446",,5,0,4,1,"8,634",150,6,490,"16,511",652,13,462,,8,23,,3,"23,594",410,117,92,3,,"8,712",C,"5,796",0,,10,2,0,C,156,0,83,366,"8,342",1,1,"7,932",194,"2,532","5,030",202,0,,"10,732","216,632",75,,
BTN,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,1,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
BOL,,0,0,0,3,0,,0,0,,0,,8,0,12,2,2,0,,0,0,,50,0,0,26,0,0,C,0,20,,,5,,0,,0,,0,0,,8,1,84,0,0,,,0,,0,118,,0,0,,,42,,0,,,0,0,,0,0,,0,,,0,0,,C,1,8,,0,,11,58,,,
BES,,0,0,0,0,0,,0,0,,0,,,0,,,65,0,,0,0,,22,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,31,,0,,18,0,,,
BIH,,0,0,0,19,0,,0,0,,0,,,0,3,2,0,0,,0,0,,0,0,0,23,0,0,C,0,13,,,0,,0,0,0,,12,0,,0,0,,0,0,11,,51,,0,162,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,24,,C,0,8,,0,,0,130,,,
BWA,,0,0,C,0,0,,0,0,,0,,,0,2,21,0,0,,0,0,,0,0,0,7,0,0,C,4,0,0,,9,,0,,0,,36,0,,0,0,22,0,0,,,0,,0,45,,0,101,,,2,,23,,,,0,,0,0,,0,,,0,0,28,C,7,1,,0,,23,79,,,
BRA,24,460,3,"2,412",452,"1,247",11,23,0,309,647,20,,7,"7,324","32,072","1,478",144,16,981,109,14,62,8,23,"2,076",0,13,316,"4,577","4,802",,9,"6,658",,14,2,8,0,"11,204",145,73,"1,332","10,458",290,2,"5,253",,22,35,,4,"30,187",23,15,0,"2,395",,"12,437",,"5,429",6,,425,336,118,17,"1,006",0,32,"1,464",C,19,56,321,"6,408","1,434","3,036","1,645",7,,"47,356","116,193",321,1,12
IOQ,,0,0,0,0,0,,0,0,,8,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,C,0,,,0,,1,60,,,
BRN,,0,0,0,0,0,,0,0,,0,,,0,,1,0,0,,0,0,,0,0,0,0,0,0,,37,0,,,0,,0,,0,0,0,0,,0,0,,0,0,,,0,,0,0,19,0,0,,,0,,0,,,,0,,0,0,,0,,C,0,0,,C,0,0,,0,,0,0,,,
BGR,C,0,0,C,386,5,,0,0,94,0,,,,2,76,0,0,,2,0,,0,0,111,67,1,46,17,529,692,0,65,11,,31,0,0,,165,0,4,217,44,132,0,0,,56,0,,46,592,0,C,0,,0,106,,64,,,,0,,32,20,15,0,1,C,42,28,,C,0,30,0,0,,114,282,,,
BFA,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,22,0,,,0,,0,,0,,0,0,,0,0,1,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,1,,0,,0,1,,,
BDI,3,0,0,0,1,0,,0,0,2,0,,0,0,,,0,0,,0,0,,0,0,0,11,0,0,,6,11,,,12,,0,,0,,1,0,,20,0,,0,0,,,0,,0,99,,C,16,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,47,0,,,
KHM,,0,0,0,0,0,,0,0,,0,,,0,,3,0,5,,0,0,,0,0,0,0,0,0,,,0,4,,3,,0,,0,0,0,0,,0,0,,0,0,,,0,,0,518,7,0,0,,,19,,6,,,,0,,0,0,,0,,C,0,0,,C,0,1,1,0,,2,0,,,
CMR,,0,0,0,8,0,,0,0,0,0,,,0,,2,0,0,,0,0,,0,0,0,40,0,0,C,92,30,,,0,,0,,0,,40,0,,7,6,3,0,0,,,0,,0,203,,0,0,,,28,,0,,,,0,,0,0,,0,,,0,0,,C,0,2,,0,,112,181,0,,
CAN,C,0,5,"17,404","2,528",124,62,546,0,"4,600","19,711",114,91,2,,"21,677",705,"13,378",246,"3,710",430,19,114,151,41,"3,352",0,13,"4,264","18,658","38,808",15,59,"4,779",3,42,16,0,0,"49,864",48,156,"3,676","55,612",849,"2,382","3,297",0,281,35,,10,"48,524",187,"1,255",85,32,6,"17,365",C,"25,132",,,140,111,11,50,335,8,C,"2,716","16,180",725,264,"1,301","1,425","6,359","34,618",258,3,,"37,483","705,290",174,,
CPV,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,1,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,54,,0,,,0,0,,C,0,0,,0,,0,1,,,
CYM,,0,4,"25,076","2,284","2,644",,528,0,"1,512","14,727",386,"2,962",3,"26,525",,"1,039","320,496","3,392","16,698",263,20,"26,366",22,46,"8,686",10,25,"13,935","15,577","18,616",36,109,"15,241",1,32,31,15,373,"43,920","2,304",243,"3,396","617,814","6,614",19,"6,294",727,44,211,,6,"91,262","1,351",159,"1,192",18,,"22,071","1,544","8,292",29,,249,"1,057",384,C,"3,429",13,56,"2,569","21,935",34,30,358,"1,555","11,132","55,000",998,401,,"80,278","1,217,097",110,1,1
CAF,,0,0,C,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,6,,0,0,,0,0,,,0,,0,0,,0,19,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
TCD,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
CHL,,8,0,417,339,87,3,13,0,197,"1,179",4,336,0,"2,025","2,560",,303,30,169,126,6,91,4,1,509,0,0,113,928,"3,670",,,28,,1,0,1,0,"1,919",7,53,333,"2,123",154,1,247,,23,3,,6,"4,485",0,C,0,0,,"1,730",,"2,114",,,209,649,C,1,0,C,C,902,C,21,5,3,677,214,"3,678",58,0,,"4,397","25,893",126,,10
HKG,,0,5,"9,115",401,846,27,55,0,535,"7,128",115,13,0,"9,732","15,185",53,,"7,358","58,495",1,0,37,7,15,"1,818",0,1,436,"4,901","4,767",3,5,597,,5,7,5,690,"12,344",79,176,450,"20,279",498,86,"8,101",19,25,7,,5,"29,926","4,108",C,"8,576",8,100,"11,672",C,"6,605",5,,9,26,335,C,191,,C,"3,719","26,354",9,35,110,940,"4,901","5,936","4,833",11,,"48,264","136,033",3,,11
MAC,,0,0,C,0,,,0,0,,8,,0,0,,19,0,356,,93,0,,0,0,0,0,0,0,4,0,0,,,0,,0,,0,,0,0,,0,0,3,1,36,,,0,,0,35,0,0,0,,,3,,0,,,,0,C,0,282,,0,,46,0,0,,C,9,0,36,0,,"1,024",0,,,
CHN,,22,0,"7,587",278,49,53,9,28,327,"3,493",,15,0,"16,740","32,117",135,"324,022","25,697",,1,2,31,4,48,"1,263",3,0,507,"10,317","5,265",1,2,"1,052",,4,8,223,"1,285","17,103",3,8,418,"16,630",698,116,"13,789",16,12,8,,101,"33,159","1,321",C,"2,890",10,1,"8,881",152,"12,935",,,7,0,657,1,355,0,C,"5,586","94,335",25,81,328,C,"2,662","5,399","7,245",1,,"47,982","107,725",0,,14
CXQ,,0,2,0,0,0,,0,0,,0,,,0,,91,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,2,0,,0,,,0,0,,,0,,0,2,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,,,,
CCQ,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,0,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,1,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,11,,,,
COL,,0,0,132,110,34,,65,0,84,346,4,75,0,689,"2,048",867,8,1,123,,20,54,0,1,881,0,0,89,195,"2,800",,0,50,,0,,0,0,"2,958",14,1,296,"1,212",82,0,98,,4,0,,0,"5,259",0,C,5,,,"2,515",,"1,291",,,963,"1,421",C,C,81,,C,889,C,2,2,,241,188,"1,128",1,0,,"2,176","20,037",56,2,1
COM,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
COD,,0,0,0,0,0,,0,0,1,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,0,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,17,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,4,C,0,11,,0,,0,0,,,
COG,,0,0,C,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,10,7,,,0,,0,,0,,35,0,,0,2,,0,0,,,0,,0,19,,0,10,,,2,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,256,,,
COK,,0,0,0,0,0,,0,0,,0,,,0,,56,0,0,,0,0,,0,0,0,0,0,0,,0,0,,,0,,0,,0,,0,0,3,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,5,0,0,,C,0,,,0,,0,0,,,
CRI,,0,0,C,25,0,,11,0,1,44,1,2,0,52,73,10,2,,4,15,,44,0,0,239,0,0,22,9,328,,0,8,18,0,,0,0,293,1,3,54,19,96,0,1,,0,0,,0,982,,C,0,,,366,,4,,,284,0,,0,10,,0,14,C,0,0,,C,5,34,0,0,,147,"1,723",1,,
CIV,,0,0,C,12,0,,0,0,,0,,0,0,97,7,0,136,,6,0,,0,-3,0,203,0,0,38,159,234,,0,31,,0,,0,,315,0,,13,50,4,0,115,,0,1,,0,"1,034",0,0,217,,,35,,141,,,,0,,0,0,,0,22,C,0,0,,C,27,69,,0,,473,"1,858",,,
HRV,14,0,0,C,656,4,,0,0,27,16,,2,204,137,125,0,0,,1,0,,0,8,16,320,0,4,59,259,"1,205",1,2,27,,92,0,0,,604,0,,513,118,4,0,2,,26,2,,37,"2,520",,8,1,,0,604,,76,,,0,0,,70,0,44,0,102,C,34,72,0,C,10,165,0,1,,616,"2,799",0,,
CUB,,0,0,C,0,0,,0,0,,0,,,0,,,0,0,,19,0,,0,0,0,0,0,0,,29,0,,,9,,0,0,0,,0,0,,0,9,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,4,,0,,0,0,,702,
CUW,,0,21,0,158,0,,1,0,814,64,,8,1,"1,204","20,007",0,0,6,0,0,,0,0,76,248,0,0,72,"12,861","1,374",,4,6,,62,,0,,"1,065",0,,648,"3,095",18,12,1,,1,1,,1,"1,794",0,C,69,28,,910,,970,,,1,0,,C,9,C,1,,27,19,23,,439,76,"3,611",,0,,414,"70,084",,,
CYP,,0,0,C,42,0,,0,0,145,9,,0,0,204,496,0,30,0,3,0,,0,,88,61,0,10,79,114,424,27,172,"1,206",,6,0,0,0,291,2,,140,118,3,0,33,,21,2,,2,"2,295",15,C,54,,0,131,,426,,,,0,,C,35,6,"2,468",3,C,69,1,1,C,63,147,58,0,66,846,"1,549",0,,
CZE,,0,0,110,"3,083",17,5,0,0,"7,525",64,,,441,173,144,1,15,0,47,0,,0,1,,124,0,33,52,"2,677","5,001",1,10,245,,80,0,0,,"1,412",0,11,967,903,391,13,33,,20,2,,85,"2,583",0,C,0,,0,"1,127",,"1,091",,,,0,,784,15,4,1,22,C,"1,262",125,2,152,70,886,0,0,,"3,799","2,938",0,,
DNK,,0,3,"2,019","2,287",33,42,105,0,"2,236",814,22,489,26,"4,704","17,486",50,430,53,868,16,4,43,39,34,,0,20,"22,317","16,778","35,534",,17,"17,213",,6,28,0,,"10,377",32,30,"2,797","11,124","1,808",139,741,,61,5,,65,"31,982",12,121,172,23,3,"10,953",C,"22,444",,,1,1,5,C,203,1,1,"1,550",C,130,159,42,"1,343","21,600","10,264",5,0,,"24,990","90,082",18,,1
DJI,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
DMA,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,3,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
DOM,,0,0,C,26,0,,0,0,2,4,,2,0,122,75,57,0,,8,0,1,47,0,0,371,0,0,20,19,528,1,,28,,0,,0,,438,0,,58,140,9,0,1,,1,0,,0,"1,909",,C,0,,,568,,0,,,118,0,,0,0,,0,129,C,0,0,,C,16,60,,0,,153,"3,595",0,,
ECU,,0,0,C,9,1,,0,0,,0,,1,0,20,,7,5,,0,0,0,0,0,0,68,0,0,C,5,77,,,23,,0,,0,,98,0,,13,8,1,0,0,,0,0,,0,"1,094",0,0,0,,,138,,0,,,25,4,,0,0,,0,35,C,0,0,,C,2,15,,1,,69,974,0,,
EGY,3,0,0,56,10,340,3,0,0,1,24,,0,0,150,613,0,24,,54,0,,0,1,0,112,,0,27,164,105,0,,108,,1,,0,1,573,0,,65,69,40,0,11,146,0,5,,0,982,2,0,49,,,205,,384,,,9,0,,0,0,,0,103,C,0,0,131,C,42,68,0,0,,"1,057","3,084",,,1
SLV,,0,0,C,10,0,,0,0,1,4,,,0,55,8,5,0,,3,24,7,40,0,0,212,0,0,10,4,358,,,8,13,0,,0,,282,0,,29,32,98,0,0,,,0,,0,550,,0,0,,,251,,0,,,55,0,,0,0,,0,68,C,0,0,,C,20,49,1,0,,67,"1,004",0,,
GNQ,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,0,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,0,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
ERI,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,0,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
EST,,0,0,C,70,0,,0,0,13,0,,,0,2,36,2,0,,0,0,,0,1,13,64,0,,324,145,192,,0,3,,1,0,0,,53,2,,23,1,7,0,0,,145,0,,183,264,,C,0,,,3,,91,,,,0,,8,0,C,4,,,20,27,2,C,263,28,,0,,12,118,,,
ETH,,0,0,0,2,0,,0,0,,0,,,0,,,0,0,,7,0,,0,0,0,38,10,0,C,1,111,,,6,,0,,0,,50,0,,3,4,,0,0,,,0,,0,260,,0,15,,,47,,0,,,,0,,0,0,,0,,C,0,0,,C,9,27,,0,,14,239,,,
FLK,,0,0,0,0,0,,0,0,0,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,C,0,3,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,0,0,0,,,0,,0,,,,0,,C,0,,0,,C,0,0,,C,0,0,,0,,19,6,,,
FRO,,0,0,C,1,0,,0,0,6,0,,,0,,,0,0,0,0,0,,0,0,0,455,0,0,14,13,25,,,0,,0,35,0,,40,0,,5,,,0,1,,,0,,0,159,,0,0,,,4,,236,,,0,0,,C,0,,0,,C,0,0,,C,67,11,,0,,5,163,,,
FJI,,0,0,C,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,0,7,,,0,,0,,0,,2,0,,0,0,,0,0,,,0,,0,14,,0,0,,,0,C,0,,,,0,,0,0,,0,,C,0,0,,C,0,0,,0,,0,45,,,
FIN,,0,0,"2,315","4,187",15,2,5,0,"4,082",908,,5,17,"2,966",226,77,801,22,418,53,,13,37,36,"5,271",0,471,,"17,299","41,743",1,54,738,,3,25,0,0,"13,841",59,24,"3,369","9,912","1,589",421,426,0,348,1,,124,"22,155",20,238,1,2,0,"24,434",506,"13,042",,,1,0,C,9,"1,093",0,C,505,C,240,185,16,"1,333","24,758","7,823",2,0,,"23,931","38,323",52,,
FRA,21,1,11,"20,205","26,921",559,119,38,0,"110,201","13,015",895,208,448,"32,057","41,486",553,"8,408",331,"4,906",361,30,450,810,"1,330","16,302",32,387,"20,476",,"359,091",87,"2,446","3,036",5,142,144,1,3,"162,693",41,"2,011","141,637","222,254","4,538","3,749","10,369",125,797,389,,484,"334,508",311,"1,318",167,146,1,"183,936",C,"50,154",8,,51,127,157,"1,619","11,064",47,C,"8,229",C,"1,456","1,859",296,"48,873","13,060","81,655",271,32,,"302,137","466,830",238,,7
TFQ,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,,,0,,0,,,,
PYF,,0,0,0,0,0,,0,0,,0,,,0,,,2,0,,0,0,,0,0,0,19,0,0,,116,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
NCL,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,64,0,,,0,,0,,0,,1,0,,0,0,,0,0,,,0,,0,0,,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,,0,,0,0,,,
GAB,,0,0,0,3,0,,0,0,1,0,,,0,14,3,0,0,,2,0,,0,0,0,82,0,0,6,129,173,,,0,,0,,0,,110,0,,17,50,,0,1,,0,0,,0,269,,0,10,,,121,,0,,,,0,,0,0,,0,42,C,0,0,,C,2,44,,0,,141,380,,,
GMB,,0,0,0,0,0,,0,0,,0,,,0,,,0,0,,0,0,,0,0,0,0,0,0,,,0,,,0,,0,,0,,0,0,,0,0,,0,0,,,0,,0,0,1,0,0,,,0,,0,,,,0,,0,0,,0,,,0,0,,C,0,0,0,0,,0,0,,,
GEO,11,0,0,C,21,0,,0,0,,2,,,0,26,29,0,0,,6,0,,0,0,1,102,0,2,7,19,102,,,5,,9,,0,,46,0,116,46,15,,1,8,,15,0,,9,693,,0,0,,,81,,0,,,,0,,3,0,,0,28,C,0,0,,C,9,25,10,0,,192,528,,,
DEU,16,36,13,"31,345","52,157",415,313,43,0,"46,719","10,174",176,264,728,"31,700","47,088","4,825","15,956",213,"4,999",488,8,64,470,893,"56,609",50,430,"25,673","231,018",,55,"1,314","5,365",,497,183,3,54,"118,893",86,"3,983","74,816","128,649","12,128","3,308","5,163",77,"1,094",138,,386,"319,420",374,"1,415",23,121,5,"231,367",C,"75,841",,,54,302,41,"1,520","15,602",169,C,"8,576","23,998","1,929","2,062","9,399","26,475","29,035","82,490",179,65,,"288,405","373,190",68,,1
