,ARG,ABW,AUS,AUT,BHS,BEL,BMU,BRA,BGR,CAN,CYM,CHL,HKG,MAC,COL,CRI,CYP,CZE,DNK,EGY,EST,FIN,FRA,DEU,GRC,GGY,HUN,ISL,IDN,IRL,IMN,ISR,ITA,JPN,JEY,KAZ,KOR,LBN,LUX,MYS,MLT,MUS,NLD,ANT,NZL,NOR,PAK,PAN,PHL,POL,PRT,ROU,RUS,SGP,SVK,ZAF,ESP,SWE,CHE,THA,TUR,UKR,GBR,USA,URY,VUT,VEN
ABW,0,,,0,,0,0,,,0,,0,0,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,36,,,,,,,0,,0,,,0,0,,0,0,,,C,542,0,,
AUS,0,0,,780,176,"1,681",939,1,0,"2,712",443,36,"21,694",415,16,,223,46,309,8,0,115,"4,958","2,674",99,576,22,1,1,"5,864",123,72,"2,429","22,435","4,374",8,20,6,"10,913",127,63,35,"3,869",12,"1,770","2,514",,2,10,3,119,,0,"8,107",0,61,567,767,"3,466",50,0,,C,"58,616",0,26,
AUT,120,0,85,,21,"3,869",370,9,10,166,196,6,815,22,2,,95,427,"1,024",7,52,"1,595","14,621","38,432",198,897,25,0,,"4,775",15,41,"4,277","9,473",624,17,0,6,"14,792",3,199,,"8,531",223,,"1,529",,1,,52,653,1,2,442,39,4,"1,695",927,"18,803",0,,,C,"5,761",6,,
AZE,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,1,,,,,,,,,,0,,,0,0,,0,0,,,3,0,0,,
BHS,0,0,,22,,11,"1,291",401,,32,181,1,72,0,0,,57,,35,0,0,,648,27,,212,0,,,159,8,,584,"2,353",95,,0,55,412,,,,55,,,0,,90,11,,0,,0,,,1,12,1,"4,613",0,,,C,"1,922",0,,
BHR,0,0,,0,6,0,0,,,0,1,0,,,0,,1,,0,2,0,,0,0,,1,0,,,,10,,2,0,,,0,1,2,1,,,0,,,5,,,,,0,,0,,,0,0,1,0,0,,,C,,0,,
BGD,0,0,,0,,0,0,,,0,,0,,,0,,0,,2,,0,,0,0,,1,0,,,,,,0,0,,,0,,0,,,9,0,,,,1,,,,,,0,,,0,0,,0,0,,,C,2,0,,
BRB,0,0,,1,184,0,8,,,17,5,0,,0,0,0,23,,0,,0,,0,0,,1,0,,,8,,,0,2,,,0,,12,,,45,0,2,,0,,,,,0,,0,,,0,5,,0,0,,,C,141,0,,
BLR,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,3,,,0,0,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,1,,,0,0,,0,0,,,0,0,0,,
BEL,1,0,289,"3,449",12,,250,6,0,373,1,10,"1,589",1,5,,14,349,"1,702",28,4,"1,932","38,379","14,838",50,"1,202",5,1,,"6,176",23,29,"6,965","12,359",543,27,24,2,"33,031",1,55,4,"22,628",10,,"1,546",0,,,9,"1,249",,15,228,3,9,"5,750","1,276","4,074",0,0,,"13,578","12,358",0,,0
BLZ,0,0,,0,,0,2,1,,0,7,0,,,0,0,0,,0,,0,,0,3,,,0,,,,,,0,0,,,0,,8,,,,0,7,,,,0,,,0,,0,,,0,0,,2,0,,,C,37,0,,
BEN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
BMU,0,0,57,616,45,288,,166,0,558,23,1,"23,007",83,0,0,0,7,90,2,0,,"2,062","1,052",1,"2,172",0,0,0,423,425,4,"1,159","1,901",39,2,27,5,"1,880",47,4,,510,13,,173,,10,0,,38,,11,"1,863",0,290,305,49,"2,532",3,,,C,"97,036",12,,
BTN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
BOL,0,0,,0,,0,1,0,,0,,0,,,0,,0,,0,,0,,1,0,,,0,,,,,,0,0,,,0,,1,,,,0,,,0,,,,,0,,0,,,0,252,,0,0,,,C,0,0,,
BIH,0,0,,0,1,0,0,,,2,,0,,,0,,0,,0,,0,,2,5,,2,0,0,,,,,1,0,,,0,,10,,,,0,,,,,,,,,,0,,,0,0,1,2,0,,,C,28,0,,
BWA,0,0,,0,,0,0,,,9,,0,,,0,,0,,0,,0,,0,0,,2,0,,,,0,,0,0,,,0,,9,,,33,0,,,,,,,,,,0,,,21,0,0,0,0,,,C,11,0,,
BRA,260,0,139,581,"4,395",124,130,,,"1,408","2,699",50,13,10,5,33,42,0,234,2,0,,"1,490","3,144",2,221,0,0,,300,7,12,"3,806","4,086",150,,3,7,"2,759",7,0,,"1,459",86,,66,,63,6,,438,,2,120,0,2,59,76,916,0,18,,"6,782","24,865",432,,6
IOQ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,2,,,0,,,,,,,,,,0,,,0,0,46,,0,,,C,0,0,,
BRN,0,0,,0,,0,0,,,0,,0,C,,0,,0,,0,,0,,0,0,,7,0,,,,,,0,0,2,,0,,12,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
BGR,0,0,C,92,,16,20,,,5,5,1,,2,0,,38,,69,,0,,71,449,28,11,0,0,,60,,,195,78,5,,0,,389,3,,,155,1,,,,,,,0,,3,,0,0,2,0,10,0,0,,C,"1,474",0,,
BFA,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,2,,,0,0,,,0,,2,,,,0,,,,,,,,,,0,,,0,0,,1,0,,,0,0,0,,
BDI,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
KHM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,0,,,,0,0,,,0,,0,0,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
CMR,0,0,,0,,0,0,,,0,,0,,,0,,0,,2,,0,,8,0,,0,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
CAN,1,0,"1,288","1,254",162,"1,890","2,086",4,1,,877,47,"7,139",57,11,0,243,30,"1,094",15,0,457,"10,258","5,286",14,"1,127",0,24,3,"9,511",91,31,"2,127","22,826",964,33,44,6,"11,597",45,45,3,"2,989",226,109,"6,181",,4,,4,55,,3,"2,273",4,51,"1,043",750,"7,213",0,1,,"19,211","230,841",3,,6
CPV,0,0,,0,,0,0,,,0,,0,1,,0,,0,,0,,0,,0,0,,,0,,,,,,5,0,,,0,,0,,,,0,,,,,,,,0,,0,,,0,0,,0,0,,,0,0,0,,
CYM,0,0,C,"5,704",284,"4,976","7,045",885,,"2,236",,73,"26,682",249,101,6,46,"1,773",333,6,0,,"28,845","18,143",490,"4,777",0,10,77,"8,170",395,32,"13,002","175,166","6,724",3,"1,912",7,"24,447",501,166,12,"4,368","6,973",,529,,181,16,151,"8,263",,5,"1,613",0,10,"25,282",669,"15,733",5,35,,"50,736","87,488",25,,12
CAF,0,0,,0,,0,0,,,0,,0,0,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
TCD,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
CHL,23,0,4,50,18,19,24,1,,51,28,,86,,0,0,0,,19,,0,,62,192,,289,0,0,,75,16,,81,66,2,,2,,226,,,,579,1,,,,2,,,0,,0,,,0,477,11,30,0,,,761,"6,097",3,,
HKG,0,0,"1,605",66,3,318,"3,766",0,,"2,530",329,0,,"1,174",0,,0,0,382,,0,121,932,709,2,246,0,1,68,"1,900",232,6,831,"4,356",284,2,557,1,"3,596",155,0,61,"1,947",8,4,,1,,98,,0,,0,"4,395",,29,11,530,589,29,,,"13,928","23,657",0,,
MAC,0,0,,0,,0,0,,,0,,0,6,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,1,,,,,,,52,,0,,,0,0,,0,0,,,C,0,0,,
CHN,0,0,70,18,,19,1,0,,125,162,0,"8,194",79,0,0,1,0,123,,0,,431,145,,112,0,0,,173,,,157,"1,458",60,,42,0,"1,061",4,,432,120,1,,477,,,3,,0,,0,"1,705",,0,369,104,99,4,,,"2,321","4,963",0,,
CXQ,0,0,,0,,0,0,,,0,,0,,,0,,0,,14,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
CCQ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,0,,0,,,0,0,0,,
COL,0,0,C,40,61,1,15,3,,12,198,8,,,,3,0,,55,,0,,97,268,,23,0,,,55,,,472,375,3,,0,0,216,2,,,52,-6,,,,453,,,0,0,0,,0,0,23,1,44,0,,,C,"2,683",1,,
COM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,0,,0,,,0,0,,0,0,,,0,0,0,,
COD,0,0,,0,,1,0,,,0,,0,,,0,,0,,0,,0,,0,0,,0,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
COG,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,2,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
COK,0,0,,0,,0,0,,,0,,0,0,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
CRI,1,0,,7,94,0,1,0,,7,52,0,,,0,,0,,2,,0,,6,3,,,0,,,2,,,2,0,,,0,,23,,,2,0,,,,,264,,,0,,0,,,0,0,,2,0,,,C,218,0,,
CIV,0,0,,2,,101,0,,,0,,0,,,0,,0,,0,,0,,266,0,,0,0,,,205,,,1,12,,,0,,59,,,0,22,0,,,,,,,,,0,,,0,0,,173,0,,,C,118,0,,
HRV,0,0,C,489,,4,18,,4,24,0,8,,,0,,42,6,18,,2,,66,"1,113",42,5,29,0,,32,0,,103,523,10,,3,,431,1,1,,145,1,,3,,,,,0,,0,,,0,2,4,31,0,,,377,629,0,,
CUB,0,0,,0,,0,0,0,,0,,0,,,0,,0,,0,,0,,0,0,,9,0,0,,,,,12,0,,,0,,1,,,,0,2,,,,,,,,,0,,,0,0,,1,0,,,C,0,0,,
CYP,0,0,,83,,31,0,,,0,,0,,,0,,,15,3,,1,,106,491,493,61,0,0,,25,1,,6,59,3,,4,0,154,,1,,66,2,,8,,,,,19,,10,,44,0,23,1,75,0,,,C,92,0,,
CZE,0,0,2,323,,122,0,,,14,,0,,,0,,20,,30,,2,,82,380,8,16,13,0,,289,,,98,16,52,,0,,653,,,,21,,,69,,,,,0,,0,,24,0,16,37,33,0,,,C,685,0,,
DNK,0,0,340,"4,542",12,"2,987",354,0,,682,29,0,507,26,0,,34,4,,7,8,"1,517","3,688","9,594",57,348,0,6,9,"2,420",320,13,"1,527","5,588",596,20,3,0,"7,406",9,14,,"4,445",6,1,"7,449",,,,0,209,,0,834,2,26,"1,545","2,799","3,241",0,0,,C,"13,519",3,,
DJI,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
DMA,0,0,,0,,,0,,,0,,0,C,,0,,0,,0,,0,,0,0,,,0,,,13,,,0,0,,,0,,1,,,,3,0,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
DOM,0,0,,5,14,0,0,1,,28,133,0,,,0,2,0,,5,,0,,10,27,,,0,,,15,,5,14,1,,,0,,43,,,,15,3,,,,117,,,,,0,,,0,1,,0,0,,,84,310,0,,0
ECU,0,0,C,6,65,0,12,0,,2,28,0,0,,0,5,0,,20,,0,,10,34,5,83,0,,,,,,57,3,,,0,,220,1,,,12,4,,,,9,,,0,,1,,,0,1,0,20,0,,,45,770,1,,
EGY,0,0,2,4,,0,0,0,,1,,0,,,0,,3,,14,,0,,20,10,5,75,0,,,11,15,,20,1,,,3,1,110,1,2,9,1,,,,,,,,0,,0,,,0,0,1,10,0,,,C,485,0,,
SLV,0,0,,2,34,0,0,,,2,33,0,,,0,21,0,,33,,0,,8,10,,0,0,,,15,,,10,4,,,0,,8,,,,7,,,,,21,,,,,0,,,0,0,,1,0,,,C,291,0,,
GNQ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,0,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
ERI,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,0,0,0,,,0,0,0,,
EST,0,0,,83,,6,0,,,1,2,0,,,0,,9,,22,,,158,6,157,,15,6,0,,29,0,,53,10,,,0,,191,1,,,23,,,6,,,,,,,0,,,0,2,144,3,0,,,C,89,0,,
ETH,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
FLK,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
FRO,0,0,,0,,0,0,,,0,,0,,,0,,0,,7,,0,,0,0,,,0,0,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
FJI,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
FIN,31,0,300,"1,632",,"2,665",281,1,2,"1,537",11,34,596,9,0,0,1,6,"1,219",,82,,"14,895","16,417",56,523,3,44,2,"4,179",286,,"3,476","5,800",277,7,3,5,"8,282",1,2,0,"6,476",21,0,"1,875",,,,7,419,,0,427,1,27,"2,032","5,913","4,282",0,,,"12,416","37,570",0,,
FRA,19,0,"3,173","9,325",105,"36,281","2,637",39,35,"8,731",700,49,"5,158",161,17,1,196,201,"5,385",63,31,"11,578",,"80,253","1,271","3,346",108,37,,"20,996",199,74,"53,984","66,552","7,937",184,413,136,"69,241",8,181,159,"53,536",113,39,"7,321",,3,33,93,"6,347",0,25,"5,032",6,268,"27,016","8,877","33,832",0,13,,"93,931","134,989",15,1,4
TFQ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
PYF,0,0,,2,,0,0,,,0,,0,,,0,,0,,0,,0,,19,0,,,0,,,,,,0,0,3,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
NCL,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,2,,,,,,,,,0,,,0,0,0,0,0,,,0,0,0,,
GAB,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,64,0,,,0,,,1,,,0,0,,,0,,1,,,,0,,,,,,,,0,,0,,,0,0,,4,0,,,C,,0,,
GMB,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,3,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,24,0,,
GEO,0,0,,0,,2,0,,,0,,0,,,0,,0,,1,,0,,0,0,,,0,,,,0,,0,0,31,,0,,44,,,,12,,,215,,,,,,,3,,,0,0,,0,0,,,C,2,0,,
DEU,100,0,"2,922","43,128",38,"35,685","4,383",65,51,"5,308","2,701",214,"9,435",257,84,,240,936,"16,270",82,316,"10,807","123,368",,680,"7,637",74,24,8,"39,138",406,337,"56,461","121,007","13,615",172,124,12,"171,262",13,423,119,"106,095",257,61,"20,420",,263,31,187,"8,695",,495,"9,807",135,64,"41,656","11,309","63,305",15,52,,"127,297","130,954",7,2,10
GHA,0,0,,1,,0,0,,,8,,0,,,0,,0,,0,,0,,5,3,,5,0,,,,0,,1,3,,,0,,21,,,3,0,,,,,,,,,,0,,,0,0,,2,0,,,C,565,0,,
GIB,0,0,C,52,,110,0,0,,0,,0,,,0,,0,,0,,0,,6,524,,4,0,,,33,7,,102,0,,,0,,"1,248",,,,89,,,,,,,14,779,,0,,,0,225,,31,0,,,C,14,0,,
GRC,0,0,100,"3,734",,"6,505",283,,12,140,0,7,173,3,0,,149,0,195,,0,522,"16,039","17,540",,605,0,0,,"3,500",0,,"5,004","2,935",66,11,6,,"6,100",0,77,,"7,787",2,0,907,,,1,,0,,0,29,4,42,"1,210",457,482,0,,,C,"4,111",0,,
GRL,0,0,,0,,0,0,,,0,,0,,,0,,0,,5,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
GRD,0,0,,0,4,0,0,0,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,1,,,,,,,,,0,,,0,0,,0,0,,,0,7,0,,
GLP,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
GUM,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,2,,,,,,,,,,0,,,0,0,,,0,,,0,,0,,
GTM,0,0,,0,130,0,0,0,,0,4,0,,,0,0,0,,0,,0,,0,2,,,0,,,,,,5,1,,,0,,9,,,,0,,,,,77,,,,,0,,,0,0,,0,0,,,C,77,0,,
GGY,0,0,,319,,119,26,4,,0,2,23,0,23,0,,10,,20,,0,,820,0,33,,0,0,,194,102,,901,,39,,0,,"1,228",,,1,"3,244",1,,,,,,,121,,0,,,192,5,0,"4,963",0,,,C,"4,012",0,,
GUF,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,0,0,0,,,0,,,,,,0,0,2,,0,,2,,,,0,1,,,,,,,,,0,,,0,0,,,0,,,0,0,0,,
GIN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,0,,0,,,0,0,,14,0,,,0,0,0,,
GNB,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,0,,0,,,0,0,,0,0,,,0,0,0,,
GUY,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,17,,,0,,25,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,2,0,,
HTI,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,C,0,0,,
HND,0,0,,0,,0,0,,,0,5,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,0,,,,,0,,,0,0,,0,0,,,0,18,0,,
HUN,0,0,11,"1,867",,186,80,0,24,104,,3,0,,0,,15,185,322,,4,,504,"6,116",36,118,,0,,579,,,131,768,74,,4,,"3,330",,19,,249,,,42,,,,120,0,,0,,4,0,129,79,144,0,,,"3,053","2,430",0,,
ISL,0,0,,294,,112,84,,,0,2,0,94,,0,0,0,34,19,,1,182,205,"1,492",,19,0,,,196,,,40,200,,,0,,677,,,,5,6,,230,,,,,88,,0,,,0,31,160,68,1,,,C,162,0,,
IND,0,0,73,33,67,65,1,,,176,24,0,50,8,0,,0,,72,0,0,,78,165,1,141,0,0,,231,1,,158,208,48,,47,0,"1,364",16,,"7,309",268,,,31,,,,,0,,15,709,,0,431,47,90,0,,,C,"8,975",0,,
IDN,0,0,23,17,2,15,2,,,87,24,0,200,0,0,,0,,28,0,0,,80,31,,88,0,0,,86,1,,45,171,24,,83,0,457,35,,"2,859",110,5,,1,,,4,,0,,0,"2,261",,0,20,10,44,15,,,C,"3,122",0,,
IRN,0,0,,7,,34,0,,,0,,3,1,,0,,5,0,0,,0,,17,49,,,0,,,7,,,8,0,,,2,0,8,,,,6,,,,,,,,,,0,,,0,0,155,11,0,,,C,,0,,
IRQ,0,0,C,0,,0,0,,,0,,0,,,0,,0,,0,2,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,1,,,,,,,,,0,,,0,0,,0,0,,,C,,0,,
IRL,0,0,254,"2,929",15,"6,299","5,625",8,0,"1,090",122,997,"1,391",13,115,3,63,110,668,,24,"1,752","21,631","24,419",225,"2,942",33,105,,,"1,558",17,"21,579","33,261","2,008",55,267,2,"14,565",1,16,3,"5,991",43,,"1,279",,,0,53,"2,537",,0,"2,047",1,"4,447","3,797",906,"5,397",0,,,"40,256","25,815",0,,
IMN,0,0,,0,,0,15,0,,0,,0,,,0,,0,1,30,,0,,0,0,,35,0,0,,10,,,17,,,,0,,4,0,,1,0,1,,,,,,,0,,0,,,56,0,,58,0,,,C,0,0,,
ISR,0,0,C,173,,20,20,10,,507,58,0,1,,0,0,0,0,195,,0,,212,198,24,58,0,0,,63,0,,130,952,8,,0,,556,,7,,132,1,,9,,1,,,0,,0,7,,0,17,15,282,0,,,"2,076","20,109",3,,
ITA,67,0,"1,427","8,727",11,"41,760","1,178",12,6,"3,238",347,39,"1,165",18,1,,56,178,"3,482",,28,"5,556","119,196","98,232","1,362","2,301",8,9,6,"36,931",88,20,,"45,214","1,288",67,17,25,"67,165",8,383,0,"52,751",329,0,"7,558",,,,30,"2,580",2,12,"1,830",28,54,"36,574","3,691","8,473",9,0,,"106,134","47,600",4,,5
JAM,0,0,,5,,0,0,,,0,16,0,,,0,,0,,4,,0,,1,104,,0,0,,,15,,,123,0,,,0,,18,,,,25,9,,,,,,,,,0,,,0,0,,11,0,,,C,142,0,,
JPN,2,1,"5,915","1,523",2,"2,419","1,927",1,,"13,062",221,5,"8,754",48,2,,24,0,"2,152",123,2,604,"16,972","17,459",20,"1,375",9,42,0,"11,228",181,7,"8,637",,"2,543",231,256,3,"22,832",21,55,46,"12,054",80,891,"9,050",,,8,0,70,,6,"6,202",1,282,"1,275","6,355","10,453",0,,,"80,135","195,439",0,0,
JEY,0,0,,"1,984",,"2,686",773,,,0,308,0,0,5,0,,0,,30,,0,,809,0,51,369,0,9,,681,105,,"4,563",,,,0,,"1,915",26,,51,959,7,,,,,,266,"2,939",,0,,,"1,623",133,15,"24,115",0,,,C,"3,080",0,,
JOR,0,0,,0,6,0,0,,,0,,0,,,0,,28,,1,3,0,,50,1,,1,0,,,,,,0,0,,,8,2,3,,,,0,,,,,,,,,,0,,,0,0,,3,0,,,66,65,0,,
KAZ,0,0,,2,,2,0,,,0,1,0,,,0,,0,56,0,,0,,9,15,,0,0,0,,2,,,0,0,,,0,,28,3,,,4,,,,,,1,,0,,0,,,0,0,,1,0,0,,C,111,0,,
KEN,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,19,0,,,,0,,4,0,,,0,,5,,,5,0,,,,,,0,,,,0,,,0,0,,0,0,,,C,16,0,,
KIR,0,0,,0,,3,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,2,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
PRK,0,0,,,,,,,,,,,,,0,,0,,0,,0,,,0,,,0,,,,,,,0,6,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,,0,,,,0,0,,
KOR,0,0,510,163,3,329,282,0,,"1,986",54,1,"7,513",28,0,,0,0,644,2,0,41,"1,283","1,915",4,452,4,1,,"1,627",6,,954,"6,010",530,,,0,"5,719",70,4,60,"1,284",3,69,404,,,15,,0,,0,"5,124",0,2,18,412,827,10,,,"13,834","39,573",0,,
KWT,0,0,,0,,0,0,,,0,,0,,,0,,8,,0,,0,,0,0,,,0,,,,,,0,0,,,0,2,5,,,0,0,,,0,,,,,,,0,,,0,0,,0,0,,,C,,0,,
KGZ,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,4,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,0,,C,0,0,,
LAO,0,0,,0,,0,0,,,0,,0,,,0,,0,,0,,0,,0,0,,,0,,,,,,0,0,,,0,,0,,,,0,,,,,,,,,,0,,,0,0,,0,0,,,0,0,0,,
LVA,0,0,,38,,0,0,,4,0,,0,1,,0,,10,,9,,35,,4,229,,2,0,,,,0,,6,2,,,0,,28,,,,10,,,,,,,,,,0,,,0,1,1,19,0,,,C,5,0,,
